timestamp,run_id,epoch,loss,lr,epoch_time_s
2026-03-06T07:43:55.027451,20260306_074345,1,0.01962923,0.00099901,9.49
2026-03-06T07:44:04.424048,20260306_074345,2,0.01634047,0.00099606,9.37
2026-03-06T07:44:13.804295,20260306_074345,3,0.01606057,0.00099115,9.36
2026-03-06T07:44:22.982497,20260306_074345,4,0.01577318,0.00098431,9.17
2026-03-06T07:44:32.284684,20260306_074345,5,0.01552757,0.00097555,9.29
2026-03-06T07:44:41.770171,20260306_074345,6,0.01520617,0.00096492,9.48
2026-03-06T07:44:51.092556,20260306_074345,7,0.01494195,0.00095246,9.31
2026-03-06T07:45:00.934621,20260306_074345,8,0.01472353,0.00093822,9.83
2026-03-06T07:45:11.309680,20260306_074345,9,0.01443369,0.00092224,10.36
2026-03-06T07:45:21.191522,20260306_074345,10,0.01426470,0.00090460,9.87
2026-03-06T07:45:31.744253,20260306_074345,11,0.01405981,0.00088537,9.51
2026-03-06T07:45:41.547403,20260306_074345,12,0.01389195,0.00086462,9.79
2026-03-06T07:45:50.861359,20260306_074345,13,0.01368016,0.00084243,9.30
2026-03-06T07:46:00.092072,20260306_074345,14,0.01353034,0.00081889,9.22
2026-03-06T07:46:09.273630,20260306_074345,15,0.01335151,0.00079410,9.17
2026-03-06T07:46:18.660517,20260306_074345,16,0.01320809,0.00076815,9.38
2026-03-06T07:46:27.903175,20260306_074345,17,0.01310258,0.00074114,9.23
2026-03-06T07:46:37.298483,20260306_074345,18,0.01296207,0.00071318,9.39
2026-03-06T07:46:46.598100,20260306_074345,19,0.01282614,0.00068438,9.29
2026-03-06T07:46:55.627469,20260306_074345,20,0.01277934,0.00065485,9.02
2026-03-06T07:47:06.550807,20260306_074345,21,0.01263586,0.00062472,10.08
2026-03-06T07:47:15.854822,20260306_074345,22,0.01252296,0.00059410,9.29
2026-03-06T07:47:25.043640,20260306_074345,23,0.01248003,0.00056310,9.18
2026-03-06T07:47:34.415913,20260306_074345,24,0.01235226,0.00053186,9.37
2026-03-06T07:47:43.982952,20260306_074345,25,0.01228207,0.00050050,9.56
2026-03-06T07:47:53.939286,20260306_074345,26,0.01219507,0.00046914,9.96
2026-03-06T07:48:03.586962,20260306_074345,27,0.01212722,0.00043790,9.64
2026-03-06T07:48:13.039052,20260306_074345,28,0.01207313,0.00040690,9.45
2026-03-06T07:48:22.527374,20260306_074345,29,0.01198832,0.00037628,9.48
2026-03-06T07:48:31.765697,20260306_074345,30,0.01193602,0.00034615,9.24
2026-03-06T07:48:41.839839,20260306_074345,31,0.01190093,0.00031662,9.15
2026-03-06T07:48:51.135224,20260306_074345,32,0.01183506,0.00028782,9.29
2026-03-06T07:49:00.315585,20260306_074345,33,0.01178298,0.00025986,9.17
2026-03-06T07:49:09.456476,20260306_074345,34,0.01174799,0.00023285,9.14
2026-03-06T07:49:18.555490,20260306_074345,35,0.01171546,0.00020690,9.10
2026-03-06T07:49:27.817425,20260306_074345,36,0.01167082,0.00018211,9.25
2026-03-06T07:49:37.401554,20260306_074345,37,0.01164015,0.00015857,9.58
2026-03-06T07:49:46.585868,20260306_074345,38,0.01161035,0.00013638,9.18
2026-03-06T07:49:55.675648,20260306_074345,39,0.01157952,0.00011563,9.08
2026-03-06T07:50:04.840072,20260306_074345,40,0.01156322,0.00009640,9.16
2026-03-06T07:50:14.696134,20260306_074345,41,0.01153477,0.00007876,9.03
2026-03-06T07:50:24.252901,20260306_074345,42,0.01151254,0.00006278,9.56
2026-03-06T07:50:33.302172,20260306_074345,43,0.01150307,0.00004854,9.05
2026-03-06T07:50:42.352585,20260306_074345,44,0.01148502,0.00003608,9.04
2026-03-06T07:50:51.465488,20260306_074345,45,0.01147264,0.00002545,9.11
2026-03-06T07:51:00.527061,20260306_074345,46,0.01146120,0.00001669,9.06
2026-03-06T07:51:09.594459,20260306_074345,47,0.01146194,0.00000985,9.07
2026-03-06T07:51:18.756166,20260306_074345,48,0.01145566,0.00000494,9.16
2026-03-06T07:51:27.862570,20260306_074345,49,0.01144740,0.00000199,9.10
2026-03-06T07:51:37.194456,20260306_074345,50,0.01144879,0.00100000,9.33
2026-03-06T07:51:47.677809,20260306_074345,51,0.03825130,0.00099975,9.64
2026-03-06T07:51:57.256574,20260306_074345,52,0.01608338,0.00099901,9.58
2026-03-06T07:52:06.491352,20260306_074345,53,0.01421052,0.00099778,9.23
2026-03-06T07:52:15.620976,20260306_074345,54,0.01361112,0.00099606,9.13
2026-03-06T07:52:24.777630,20260306_074345,55,0.01330787,0.00099385,9.16
2026-03-06T07:52:33.888848,20260306_074345,56,0.01301866,0.00099115,9.11
2026-03-06T07:52:43.319022,20260306_074345,57,0.01285705,0.00098797,9.43
2026-03-06T07:52:52.899871,20260306_074345,58,0.01269792,0.00098431,9.58
2026-03-06T07:53:02.337985,20260306_074345,59,0.01258139,0.00098017,9.44
2026-03-06T07:53:11.381898,20260306_074345,60,0.01243751,0.00097555,9.04
2026-03-06T07:53:21.081909,20260306_074345,61,0.01237840,0.00097047,9.00
2026-03-06T07:53:30.121717,20260306_074345,62,0.01227872,0.00096492,9.04
2026-03-06T07:53:39.743014,20260306_074345,63,0.01219014,0.00095892,9.62
2026-03-06T07:53:49.494526,20260306_074345,64,0.01210247,0.00095246,9.75
2026-03-06T07:53:59.863178,20260306_074345,65,0.01201499,0.00094556,10.37
2026-03-06T07:54:09.738428,20260306_074345,66,0.01198172,0.00093822,9.87
2026-03-06T07:54:19.501961,20260306_074345,67,0.01190662,0.00093044,9.76
2026-03-06T07:54:30.785270,20260306_074345,68,0.01186039,0.00092224,11.28
2026-03-06T07:54:41.785198,20260306_074345,69,0.01179766,0.00091363,11.00
2026-03-06T07:54:53.187133,20260306_074345,70,0.01170977,0.00090460,11.40
2026-03-06T07:55:04.505684,20260306_074345,71,0.01164063,0.00089518,10.41
2026-03-06T07:55:13.655432,20260306_074345,72,0.01158051,0.00088537,9.15
2026-03-06T07:55:23.098881,20260306_074345,73,0.01157154,0.00087518,9.44
2026-03-06T07:59:05.417836,20260306_075856,1,0.01169204,0.00089518,9.40
2026-03-06T07:59:15.711001,20260306_075856,2,0.01142420,0.00088537,10.28
2026-03-06T07:59:24.931911,20260306_075856,3,0.01143797,0.00087518,9.21
2026-03-06T07:59:35.174016,20260306_075856,4,0.01137474,0.00086462,10.24
2026-03-06T07:59:45.050643,20260306_075856,5,0.01130646,0.00085370,9.88
2026-03-06T07:59:56.188862,20260306_075856,6,0.01128442,0.00084243,11.13
2026-03-06T08:00:07.438639,20260306_075856,7,0.01123194,0.00083083,11.25
2026-03-06T08:00:18.656275,20260306_075856,8,0.01119591,0.00081889,11.22
2026-03-06T08:00:29.316319,20260306_075856,9,0.01118515,0.00080665,10.65
