timestamp,run_id,epoch,loss,lr,epoch_time_s
2026-03-06T04:46:03.949817,20260306_044556,1,0.01590338,0.00099500,7.66
2026-03-06T04:46:11.528535,20260306_044556,2,0.01357672,0.00099003,7.55
2026-03-06T04:46:20.197202,20260306_044556,3,0.01350530,0.00098507,8.66
2026-03-06T04:46:28.088452,20260306_044556,4,0.01357220,0.00098015,7.89
2026-03-06T04:46:36.137184,20260306_044556,5,0.01348360,0.00097525,8.05
2026-03-06T04:46:44.472026,20260306_044556,6,0.01326694,0.00097037,8.33
2026-03-06T04:46:53.139985,20260306_044556,7,0.01329544,0.00096552,8.66
2026-03-06T04:47:01.559380,20260306_044556,8,0.01337330,0.00096069,8.42
2026-03-06T04:47:09.935391,20260306_044556,9,0.01333033,0.00095589,8.37
2026-03-06T04:47:18.100731,20260306_044556,10,0.01315260,0.00095111,8.16
2026-03-06T04:47:27.331481,20260306_044556,11,0.01312174,0.00094635,8.54
2026-03-06T04:47:35.358914,20260306_044556,12,0.01302732,0.00094162,8.03
2026-03-06T04:47:43.423616,20260306_044556,13,0.01325822,0.00093691,8.05
2026-03-06T04:47:51.757451,20260306_044556,14,0.01311921,0.00093223,8.33
2026-03-06T04:47:59.983244,20260306_044556,15,0.01302527,0.00092757,8.22
2026-03-06T04:48:08.566157,20260306_044556,16,0.01288117,0.00092293,8.58
2026-03-06T04:48:16.978649,20260306_044556,17,0.01272046,0.00091832,8.41
2026-03-06T04:48:26.304482,20260306_044556,18,0.01288829,0.00091372,9.32
2026-03-06T04:48:35.440635,20260306_044556,19,0.01271715,0.00090916,9.14
2026-03-06T04:48:44.869663,20260306_044556,20,0.01291973,0.00090461,9.43
2026-03-06T04:48:53.437970,20260306_044556,21,0.01274612,0.00090009,7.90
2026-03-06T04:49:01.752804,20260306_044556,22,0.01264228,0.00089559,8.31
2026-03-06T04:49:09.965178,20260306_044556,23,0.01257210,0.00089111,8.21
2026-03-06T04:49:17.988281,20260306_044556,24,0.01266295,0.00088665,8.01
2026-03-06T04:49:26.425160,20260306_044556,25,0.01260470,0.00088222,8.43
2026-03-06T04:49:34.605646,20260306_044556,26,0.01254087,0.00087781,8.18
2026-03-06T04:49:42.870905,20260306_044556,27,0.01261603,0.00087342,8.27
2026-03-06T04:49:50.661917,20260306_044556,28,0.01256722,0.00086905,7.79
2026-03-06T04:49:59.338552,20260306_044556,29,0.01245723,0.00086471,8.67
2026-03-06T04:50:08.337454,20260306_044556,30,0.01245964,0.00086038,8.99
2026-03-06T04:50:17.064394,20260306_044556,31,0.01239771,0.00085608,7.85
2026-03-06T04:50:25.929412,20260306_044556,32,0.01233182,0.00085180,8.86
2026-03-06T04:50:35.794769,20260306_044556,33,0.01246787,0.00084754,9.86
2026-03-06T04:50:45.223871,20260306_044556,34,0.01225327,0.00084331,9.43
2026-03-06T04:50:54.735550,20260306_044556,35,0.01223113,0.00083909,9.51
2026-03-06T04:51:05.107976,20260306_044556,36,0.01227765,0.00083489,10.36
2026-03-06T04:51:14.654995,20260306_044556,37,0.01225821,0.00083072,9.55
