[2026-03-29T05:03:11.979] [INFO] [selfplay:0] [SelfPlay] 17/2500 (0%)  pos=1284  W/D/B=9/3/5  (52%/17%/29%)  d4~d7  0.3 games/s (avg 0.2)  378.9K nps  ETA 04:19:43  
[2026-03-29T05:03:13.023] [INFO] [selfplay:0] [SelfPlay] 18/2500 (0%)  pos=1373  W/D/B=10/3/5  (55%/16%/27%)  d4~d7  0.4 games/s (avg 0.2)  427.7K nps  ETA 04:09:12 
[2026-03-29T05:03:13.855] [INFO] [selfplay:0] [SelfPlay] 19/2500 (0%)  pos=1462  W/D/B=11/3/5  (57%/15%/26%)  d4~d7  0.5 games/s (avg 0.2)  435.7K nps  ETA 03:58:16 
[2026-03-29T05:03:21.992] [INFO] [selfplay:0] [SelfPlay] 20/2500 (0%)  pos=1509  W/D/B=11/3/6  (55%/15%/30%)  d4~d7  0.6 games/s (avg 0.2)  434.4K nps  ETA 03:47:51 
[2026-03-29T05:03:29.342] [INFO] [selfplay:0] [SelfPlay] 21/2500 (0%)  pos=1587  W/D/B=12/3/6  (57%/14%/28%)  d4~d7  0.5 games/s (avg 0.2)  409.1K nps  ETA 03:52:56 
[2026-03-29T05:03:47.204] [INFO] [selfplay:0] [SelfPlay] 22/2500 (0%)  pos=1670  W/D/B=12/4/6  (54%/18%/27%)  d4~d7  0.4 games/s (avg 0.2)  410.7K nps  ETA 03:55:52 
[2026-03-29T05:03:55.213] [INFO] [selfplay:0] [SelfPlay] 23/2500 (0%)  pos=1698  W/D/B=13/4/6  (56%/17%/26%)  d4~d7  0.4 games/s (avg 0.2)  371.3K nps  ETA 04:17:44 
[2026-03-29T05:04:11.053] [INFO] [selfplay:0] [SelfPlay] 24/2500 (0%)  pos=1768  W/D/B=13/4/7  (54%/16%/29%)  d4~d7  0.4 games/s (avg 0.2)  391.9K nps  ETA 04:20:32 
[2026-03-29T05:04:21.198] [INFO] [selfplay:0] [SelfPlay] 25/2500 (1%)  pos=1878  W/D/B=13/4/8  (52%/16%/32%)  d4~d7  0.3 games/s (avg 0.1)  407.2K nps  ETA 04:36:14 
[2026-03-29T05:04:28.792] [INFO] [selfplay:0] [SelfPlay] 26/2500 (1%)  pos=1987  W/D/B=14/4/8  (53%/15%/30%)  d4~d7  0.3 games/s (avg 0.1)  418.4K nps  ETA 04:41:37 
[2026-03-29T05:04:30.569] [INFO] [selfplay:0] [SelfPlay] 27/2500 (1%)  pos=2063  W/D/B=15/4/8  (55%/14%/29%)  d4~d7  0.3 games/s (avg 0.1)  436.4K nps  ETA 04:42:46 
[2026-03-29T05:04:32.940] [INFO] [selfplay:0] [SelfPlay] 28/2500 (1%)  pos=2130  W/D/B=15/4/9  (53%/14%/32%)  d4~d7  0.3 games/s (avg 0.1)  458.5K nps  ETA 04:35:10 
[2026-03-29T05:04:37.376] [INFO] [selfplay:0] [SelfPlay] 29/2500 (1%)  pos=2235  W/D/B=15/4/10  (51%/13%/34%)  d4~d7  0.3 games/s (avg 0.2)  464.1K nps  ETA 04:28:54
[2026-03-29T05:04:39.813] [INFO] [selfplay:0] [SelfPlay] 30/2500 (1%)  pos=2338  W/D/B=16/4/10  (53%/13%/33%)  d4~d7  0.3 games/s (avg 0.2)  475.1K nps  ETA 04:25:56
[2026-03-29T05:04:42.147] [INFO] [selfplay:0] [SelfPlay] 31/2500 (1%)  pos=2418  W/D/B=17/4/10  (54%/12%/32%)  d4~d7  0.3 games/s (avg 0.2)  471.2K nps  ETA 04:20:30
[2026-03-29T05:04:43.723] [INFO] [selfplay:0] [SelfPlay] 32/2500 (1%)  pos=2518  W/D/B=18/4/10  (56%/12%/31%)  d4~d7  0.3 games/s (avg 0.2)  491.3K nps  ETA 04:15:16
[2026-03-29T05:04:52.943] [INFO] [selfplay:0] [SelfPlay] 33/2500 (1%)  pos=2540  W/D/B=18/4/11  (54%/12%/33%)  d4~d7  0.4 games/s (avg 0.2)  491.7K nps  ETA 04:09:16
[2026-03-29T05:04:58.564] [INFO] [selfplay:0] [SelfPlay] 34/2500 (1%)  pos=2607  W/D/B=19/4/11  (55%/11%/32%)  d4~d7  0.3 games/s (avg 0.2)  501.6K nps  ETA 04:13:02
[2026-03-29T05:05:05.789] [INFO] [selfplay:0] [SelfPlay] 35/2500 (1%)  pos=2701  W/D/B=20/4/11  (57%/11%/31%)  d4~d7  0.3 games/s (avg 0.2)  494.2K nps  ETA 04:12:17
[2026-03-29T05:05:06.185] [INFO] [selfplay:0] [SelfPlay] 36/2500 (1%)  pos=2752  W/D/B=21/4/11  (58%/11%/30%)  d4~d7  0.3 games/s (avg 0.2)  483.5K nps  ETA 04:13:32
[2026-03-29T05:05:06.678] [INFO] [selfplay:0] [SelfPlay] 37/2500 (1%)  pos=2796  W/D/B=21/4/12  (56%/10%/32%)  d4~d7  0.6 games/s (avg 0.2)  486.1K nps  ETA 04:07:00
[2026-03-29T05:05:10.300] [INFO] [selfplay:0] [SelfPlay] 38/2500 (1%)  pos=2932  W/D/B=21/5/12  (55%/13%/31%)  d4~d7  0.8 games/s (avg 0.2)  509.0K nps  ETA 04:00:54
[2026-03-29T05:05:15.416] [INFO] [selfplay:0] [SelfPlay] 39/2500 (1%)  pos=3049  W/D/B=22/5/12  (56%/12%/30%)  d4~d7  0.8 games/s (avg 0.2)  502.1K nps  ETA 03:58:24
[2026-03-29T05:05:20.351] [INFO] [selfplay:0] [SelfPlay] 40/2500 (1%)  pos=3285  W/D/B=22/6/12  (55%/15%/30%)  d4~d7  0.7 games/s (avg 0.2)  546.3K nps  ETA 03:57:35
[2026-03-29T05:05:31.802] [INFO] [selfplay:0] [SelfPlay] 41/2500 (1%)  pos=3414  W/D/B=23/6/12  (56%/14%/29%)  d4~d7  0.6 games/s (avg 0.2)  544.4K nps  ETA 03:56:31
[2026-03-29T05:05:52.611] [INFO] [selfplay:0] [SelfPlay] 42/2500 (1%)  pos=3480  W/D/B=23/6/13  (54%/14%/30%)  d4~d7  0.5 games/s (avg 0.2)  539.7K nps  ETA 04:01:48
[2026-03-29T05:06:00.109] [INFO] [selfplay:0] [SelfPlay] 43/2500 (1%)  pos=3559  W/D/B=24/6/13  (55%/13%/30%)  d4~d7  0.5 games/s (avg 0.2)  551.3K nps  ETA 04:16:07
[2026-03-29T05:06:06.156] [INFO] [selfplay:0] [SelfPlay] 44/2500 (1%)  pos=3562  W/D/B=24/6/14  (54%/13%/31%)  d4~d7  0.4 games/s (avg 0.2)  544.2K nps  ETA 04:17:11
[2026-03-29T05:06:11.967] [INFO] [selfplay:0] [SelfPlay] 45/2500 (1%)  pos=3606  W/D/B=24/6/15  (53%/13%/33%)  d4~d7  0.4 games/s (avg 0.2)  554.0K nps  ETA 04:16:52
[2026-03-29T05:06:13.245] [INFO] [selfplay:0] [SelfPlay] 46/2500 (1%)  pos=3634  W/D/B=24/6/16  (52%/13%/34%)  d4~d7  0.4 games/s (avg 0.2)  560.7K nps  ETA 04:16:26
[2026-03-29T05:06:17.902] [INFO] [selfplay:0] [SelfPlay] 47/2500 (1%)  pos=3766  W/D/B=25/6/16  (53%/12%/34%)  d4~d7  0.4 games/s (avg 0.2)  561.1K nps  ETA 04:11:55
