[2026-03-28T00:45:17.345] [INFO] [selfplay:0] [SelfPlay] 16/500 (3%)  pos=1164  W/D/B=5/3/8  (31%/18%/50%)  d6  1.4 games/s (avg 0.6)  500.5K nps  ETA 00:14:18      
[2026-03-28T00:45:21.745] [INFO] [selfplay:0] [SelfPlay] 17/500 (3%)  pos=1266  W/D/B=6/3/8  (35%/17%/47%)  d6  2.5 games/s (avg 0.6)  523.3K nps  ETA 00:13:25      
[2026-03-28T00:45:22.114] [INFO] [selfplay:0] [SelfPlay] 18/500 (3%)  pos=1381  W/D/B=6/3/9  (33%/16%/50%)  d6  2.3 games/s (avg 0.5)  555.0K nps  ETA 00:14:40      
[2026-03-28T00:45:24.732] [INFO] [selfplay:0] [SelfPlay] 19/500 (3%)  pos=1466  W/D/B=6/3/10  (31%/15%/52%)  d6  2.3 games/s (avg 0.6)  614.8K nps  ETA 00:14:00     
[2026-03-28T00:45:28.053] [INFO] [selfplay:0] [SelfPlay] 20/500 (4%)  pos=1523  W/D/B=6/4/10  (30%/20%/50%)  d6  2.1 games/s (avg 0.6)  582.1K nps  ETA 00:14:17     
[2026-03-28T00:45:30.260] [INFO] [selfplay:0] [SelfPlay] 21/500 (4%)  pos=1606  W/D/B=7/4/10  (33%/19%/47%)  d6  1.8 games/s (avg 0.5)  558.1K nps  ETA 00:14:52     
[2026-03-28T00:45:32.691] [INFO] [selfplay:0] [SelfPlay] 22/500 (4%)  pos=1685  W/D/B=8/4/10  (36%/18%/45%)  d6  1.6 games/s (avg 0.5)  560.8K nps  ETA 00:14:57     
[2026-03-28T00:45:32.932] [INFO] [selfplay:0] [SelfPlay] 23/500 (4%)  pos=1770  W/D/B=8/4/11  (34%/17%/47%)  d6  1.4 games/s (avg 0.5)  551.7K nps  ETA 00:15:08     
[2026-03-28T00:45:33.038] [INFO] [selfplay:0] [SelfPlay] 24/500 (4%)  pos=1879  W/D/B=9/4/11  (37%/16%/45%)  d6  1.8 games/s (avg 0.5)  578.1K nps  ETA 00:14:34     
[2026-03-28T00:45:33.333] [INFO] [selfplay:0] [SelfPlay] 25/500 (5%)  pos=1924  W/D/B=9/4/12  (36%/16%/48%)  d6  3.0 games/s (avg 0.6)  591.4K nps  ETA 00:13:59     
[2026-03-28T00:45:33.390] [INFO] [selfplay:0] [SelfPlay] 26/500 (5%)  pos=2000  W/D/B=10/4/12  (38%/15%/46%)  d6  3.0 games/s (avg 0.6)  617.8K nps  ETA 00:13:31    
[2026-03-28T00:45:34.088] [INFO] [selfplay:0] [SelfPlay] 27/500 (5%)  pos=2069  W/D/B=10/4/13  (37%/14%/48%)  d6  5.2 games/s (avg 0.6)  640.6K nps  ETA 00:12:59    
[2026-03-28T00:45:39.921] [INFO] [selfplay:0] [SelfPlay] 28/500 (5%)  pos=2136  W/D/B=10/4/14  (35%/14%/50%)  d6  4.6 games/s (avg 0.6)  657.4K nps  ETA 00:12:36    
[2026-03-28T00:45:41.419] [INFO] [selfplay:0] [SelfPlay] 29/500 (5%)  pos=2220  W/D/B=11/4/14  (37%/13%/48%)  d6  4.3 games/s (avg 0.6)  683.9K nps  ETA 00:13:48    
[2026-03-28T00:45:43.231] [INFO] [selfplay:0] [SelfPlay] 30/500 (6%)  pos=2249  W/D/B=11/4/15  (36%/13%/50%)  d6  3.7 games/s (avg 0.6)  669.6K nps  ETA 00:13:41    
[2026-03-28T00:45:44.040] [INFO] [selfplay:0] [SelfPlay] 31/500 (6%)  pos=2383  W/D/B=12/4/15  (38%/12%/48%)  d6  3.3 games/s (avg 0.6)  670.6K nps  ETA 00:13:41    
[2026-03-28T00:45:45.080] [INFO] [selfplay:0] [SelfPlay] 32/500 (6%)  pos=2440  W/D/B=13/4/15  (40%/12%/46%)  d6  3.0 games/s (avg 0.6)  672.1K nps  ETA 00:13:26    
[2026-03-28T00:45:46.306] [INFO] [selfplay:0] [SelfPlay] 33/500 (6%)  pos=2511  W/D/B=13/5/15  (39%/15%/45%)  d6  2.7 games/s (avg 0.6)  677.8K nps  ETA 00:13:14    
[2026-03-28T00:45:47.151] [INFO] [selfplay:0] [SelfPlay] 34/500 (6%)  pos=2745  W/D/B=14/5/15  (41%/14%/44%)  d6  2.4 games/s (avg 0.6)  686.9K nps  ETA 00:13:06    
[2026-03-28T00:45:47.461] [INFO] [selfplay:0] [SelfPlay] 35/500 (7%)  pos=2856  W/D/B=14/5/16  (40%/14%/45%)  d6  2.2 games/s (avg 0.6)  692.2K nps  ETA 00:12:54    
[2026-03-28T00:45:47.545] [INFO] [selfplay:0] [SelfPlay] 36/500 (7%)  pos=2911  W/D/B=15/5/16  (41%/13%/44%)  d6  2.4 games/s (avg 0.6)  721.3K nps  ETA 00:12:35    
[2026-03-28T00:45:56.566] [INFO] [selfplay:0] [SelfPlay] 37/500 (7%)  pos=2964  W/D/B=16/5/16  (43%/13%/43%)  d6  3.8 games/s (avg 0.6)  737.8K nps  ETA 00:12:05    
[2026-03-28T00:45:57.542] [INFO] [selfplay:0] [SelfPlay] 38/500 (7%)  pos=3088  W/D/B=17/5/16  (44%/13%/42%)  d6  3.5 games/s (avg 0.6)  762.8K nps  ETA 00:13:42    
[2026-03-28T00:45:59.738] [INFO] [selfplay:0] [SelfPlay] 39/500 (7%)  pos=3129  W/D/B=18/5/16  (46%/12%/41%)  d6  3.1 games/s (avg 0.6)  760.9K nps  ETA 00:13:30    
[2026-03-28T00:46:01.089] [INFO] [selfplay:0] [SelfPlay] 40/500 (8%)  pos=3223  W/D/B=18/5/17  (45%/12%/42%)  d6  2.7 games/s (avg 0.6)  757.9K nps  ETA 00:13:33    
[2026-03-28T00:46:01.387] [INFO] [selfplay:0] [SelfPlay] 41/500 (8%)  pos=3353  W/D/B=18/5/18  (43%/12%/43%)  d6  2.4 games/s (avg 0.6)  760.8K nps  ETA 00:13:28    
[2026-03-28T00:46:01.721] [INFO] [selfplay:0] [SelfPlay] 42/500 (8%)  pos=3412  W/D/B=19/5/18  (45%/11%/42%)  d6  2.6 games/s (avg 0.6)  770.4K nps  ETA 00:13:11    
[2026-03-28T00:46:02.893] [INFO] [selfplay:0] [SelfPlay] 43/500 (8%)  pos=3536  W/D/B=19/6/18  (44%/13%/41%)  d6  2.6 games/s (avg 0.6)  783.6K nps  ETA 00:12:52    
[2026-03-28T00:46:03.237] [INFO] [selfplay:0] [SelfPlay] 44/500 (8%)  pos=3621  W/D/B=19/6/19  (43%/13%/43%)  d6  2.4 games/s (avg 0.6)  784.1K nps  ETA 00:12:47    
[2026-03-28T00:46:03.541] [INFO] [selfplay:0] [SelfPlay] 45/500 (9%)  pos=3735  W/D/B=20/6/19  (44%/13%/42%)  d6  2.4 games/s (avg 0.6)  799.6K nps  ETA 00:12:32    
[2026-03-28T00:46:05.434] [INFO] [selfplay:0] [SelfPlay] 46/500 (9%)  pos=3910  W/D/B=20/6/20  (43%/13%/43%)  d6  2.6 games/s (avg 0.6)  824.9K nps  ETA 00:12:15    
[2026-03-28T00:46:07.045] [INFO] [selfplay:0] [SelfPlay] 47/500 (9%)  pos=3956  W/D/B=20/6/21  (42%/12%/44%)  d6  2.3 games/s (avg 0.6)  813.9K nps  ETA 00:12:16    
